mechanism,missing_rate,repetition,method,term,estimate,std.error,conf.low,conf.high,true_estimate,bias,ci_width,ci_cover
MAR,0.2,5,complete_case,smoking_statusYes,-0.0574451510892242,0.12394428245456543,-0.3014222937149634,0.18653199153651495,-0.022120133000263893,-0.035325018088960304,0.4879542852514783,1
MAR,0.2,5,complete_case,systolic_bp,-0.0010533838727159494,0.003777965091082697,-0.008490089379482913,0.006383321634051015,0.0020175183065907756,-0.003070902179306725,0.014873411013533927,1
MAR,0.2,6,complete_case,(Intercept),4.028502959332228,0.3893362051928922,3.2623270687401718,4.794678849924285,4.0349672958498015,-0.006464336517573166,1.5323517811841132,1
MAR,0.2,6,complete_case,age,0.01731322316203775,0.0033531957469937917,0.0107144591541808,0.0239119871698947,0.01753512986073419,-2.219066986964384e-4,0.013197528015713902,1
MAR,0.2,6,complete_case,bmi,0.01859817284472866,0.007770628504525902,0.003306329611280908,0.03389001607817642,0.02897241650381511,-0.010374243659086447,0.03058368646689551,1
MAR,0.2,6,complete_case,income_ratio,-0.06513278850462371,0.03061453598792943,-0.12537922606363094,-0.0048863509456164925,-0.05343704488580892,-0.011695743618814793,0.12049287511801446,1
MAR,0.2,6,complete_case,sexFemale,-0.11877728011463169,0.10013710755488175,-0.3158373956108588,0.07828283538159538,-0.09307566573776974,-0.025701614376861956,0.39412023099245413,1
MAR,0.2,6,complete_case,smoking_statusYes,-0.07731543827031341,0.10310284108125657,-0.28021182970369146,0.1255809531630646,-0.022120133000263893,-0.05519530527004952,0.4057927828667561,1
MAR,0.2,6,complete_case,systolic_bp,0.0044714003423681516,0.0031320214824504997,-0.0016921141642805984,0.0106349148490169,0.0020175183065907756,0.002453882035777376,0.012327029013297498,1
MAR,0.2,7,complete_case,(Intercept),4.4195170517876186,0.5004285074700981,3.4345560615054223,5.404478042069815,4.0349672958498015,0.38454975593781704,1.969921980564393,1
MAR,0.2,7,complete_case,age,0.018892030469078183,0.004275667414550577,0.01047651147308115,0.027307549465075215,0.01753512986073419,0.0013569006083439944,0.016831037991994063,1
MAR,0.2,7,complete_case,bmi,0.022110963463863462,0.010724218834802743,0.0010031787436625382,0.04321874818406439,0.02897241650381511,-0.006861453039951646,0.04221556944040185,1
MAR,0.2,7,complete_case,income_ratio,-0.08161673897662361,0.03920220182524631,-0.1587758914922191,-0.004457586461028104,-0.05343704488580892,-0.028179694090814687,0.15431830503119098,1
MAR,0.2,7,complete_case,sexFemale,-0.2724890361147628,0.12782508919813074,-0.524078872744971,-0.020899199484554543,-0.09307566573776974,-0.17941337037699304,0.5031796732604165,1
MAR,0.2,7,complete_case,smoking_statusYes,-0.20333326190621046,0.13532724701690557,-0.4696891094333405,0.06302258562091959,-0.022120133000263893,-0.18121312890594657,0.5327116950542601,1
MAR,0.2,7,complete_case,systolic_bp,0.0019528748171421563,0.0040715660606712506,-0.006060924715167188,0.0099666743494515,0.0020175183065907756,-6.46434894486193e-5,0.01602759906461869,1
MAR,0.2,8,complete_case,(Intercept),3.859412051954091,0.5566670356029809,2.7632622902666957,4.955561813641486,4.0349672958498015,-0.17555524389571042,2.1922995233747904,1
MAR,0.2,8,complete_case,age,0.02429594750757072,0.005055691268748366,0.014340634142552253,0.03425126087258919,0.01753512986073419,0.006760817646836531,0.019910626730036934,1
MAR,0.2,8,complete_case,bmi,0.022893152226977558,0.011036920453811697,0.001160021016677365,0.04462628343727775,0.02897241650381511,-0.00607926427683755,0.043466262420600386,1
MAR,0.2,8,complete_case,income_ratio,-0.06120289204979683,0.044936399561182026,-0.14968850466870126,0.02728272056910762,-0.05343704488580892,-0.007765847163987906,0.1769712252378089,1
MAR,0.2,8,complete_case,sexFemale,-0.15165613156155297,0.1386545928761838,-0.4246850504977362,0.12137278737463028,-0.09307566573776974,-0.058580465823783234,0.5460578378723665,1
MAR,0.2,8,complete_case,smoking_statusYes,-0.17654577513752387,0.14620556246785543,-0.4644435348511281,0.11135198457608034,-0.022120133000263893,-0.15442564213725998,0.5757955194272084,1
MAR,0.2,8,complete_case,systolic_bp,0.0034404531915169802,0.004301919432116946,-0.005030585434302655,0.011911491817336617,0.0020175183065907756,0.0014229348849262046,0.016942077251639272,1
MAR,0.3,1,complete_case,(Intercept),4.064006412383782,0.5672105892115815,2.9428056661060893,5.185207158661475,4.0349672958498015,0.029039116533980724,2.242401492555386,1
MAR,0.3,1,complete_case,age,0.01677802488917647,0.004770179858184417,0.007348847580781498,0.026207202197571444,0.01753512986073419,-7.571049715577177e-4,0.018858354616789946,1
MAR,0.3,1,complete_case,bmi,0.024851635608233526,0.010402664591948179,0.004288769671649071,0.04541450154481798,0.02897241650381511,-0.004120780895581582,0.04112573187316891,1
MAR,0.3,1,complete_case,income_ratio,4.44290596887437e-4,0.04280130692762018,-0.08416071886813768,0.08504930006191257,-0.05343704488580892,0.05388133548269636,0.16921001893005025,1
MAR,0.3,1,complete_case,sexFemale,0.0641854790465581,0.13663246875081442,-0.20589485591706275,0.3342658140101789,-0.09307566573776974,0.15726114478432784,0.5401606699272417,1
MAR,0.3,1,complete_case,smoking_statusYes,0.057229686214671005,0.1335208417747912,-0.20669991998257686,0.3211592924119189,-0.022120133000263893,0.07934981921493489,0.5278592123944957,1
MAR,0.3,1,complete_case,systolic_bp,1.9132297886985825e-4,0.005087224649663647,-0.009864554295236388,0.010247200252976103,0.0020175183065907756,-0.0018261953277209173,0.020111754548212492,1
MAR,0.3,2,complete_case,(Intercept),4.573509864619332,0.6555736501000935,3.2770731280358216,5.869946601202843,4.0349672958498015,0.5385425687695307,2.592873473167021,1
MAR,0.3,2,complete_case,age,0.02715491353732707,0.005989066115131389,0.015311171299825092,0.03899865577482905,0.01753512986073419,0.009619783676592882,0.023687484475003955,1
