method,mechanism,missing_rate,term,mean_bias,empirical_sd,mean_model_se,ci_coverage,avg_ci_width,n_repetitions
mice,MAR,0.2,age,-9.169244554533833e-4,0.001161416688868467,0.0025635245874531007,1,0.010200734420311535,8
missforest,MAR,0.2,age,0.0013975458440219626,0.0010434624047137254,0.0024477153275346453,1,0.009606576953765643,8
complete_case,MAR,0.3,age,0.003640796004143096,0.005925243540242004,0.005521922735530454,1,0.021847196147827853,8
knn,MAR,0.3,age,-0.0013725154160413619,0.0019523660672138413,0.0023791923646187224,1,0.009337644080344102,8
mean_mode,MAR,0.3,age,-0.0011101485818583786,7.909680351159626e-4,0.002474711192940161,1,0.009712527942238144,8
mice,MAR,0.3,age,4.192426513371537e-5,0.0021458700469112082,0.0028662943609694936,1,0.011625234252596,8
missforest,MAR,0.3,age,0.0031902225337551784,0.0014697792227916819,0.00259797635739044,0.75,0.010196308173823682,8
complete_case,MCAR,0.1,age,-0.0017872927819781452,0.0011932189760643888,0.003078447251570361,1,0.012095669113680502,8
knn,MCAR,0.1,age,-0.001994200682598819,7.225333385022731e-4,0.0022148421152013743,1,0.008692616735604404,8
mean_mode,MCAR,0.1,age,-0.002043029058006485,6.651161293853468e-4,0.002200738235328889,1,0.00863726307342909,8
mice,MCAR,0.1,age,-0.002004277721861765,0.0010969594940806325,0.002258537837020325,1,0.008885078602383883,8
missforest,MCAR,0.1,age,-9.046799796538375e-4,7.685310113949688e-4,0.0022375840744821448,1,0.008781872368991384,8
complete_case,MCAR,0.2,age,-0.0015970612655557953,0.0029000225867988837,0.004121628766124265,1,0.01623322170987562,8
knn,MCAR,0.2,age,-0.0022759522072163096,0.0012377743539835756,0.0023101719899533977,1,0.009066759009216158,8
mean_mode,MCAR,0.2,age,-0.002133739168418136,8.488213944782395e-4,0.0023220447833387013,1,0.009113356300179303,8
mice,MCAR,0.2,age,-0.0023074313388102277,0.00161451531825614,0.0024045102051301896,0.875,0.009506224710549497,8
missforest,MCAR,0.2,age,6.337421919052704e-4,0.0013627390539423974,0.0023876223893071306,1,0.009370729496765016,8
complete_case,MCAR,0.3,age,-0.0031602581901583196,0.006862581386435758,0.007210243483944271,1,0.028584679152757864,8
knn,MCAR,0.3,age,-0.0030628091508415637,0.0019584206103739313,0.002422598508545059,0.75,0.009508000680723187,8
mean_mode,MCAR,0.3,age,-0.0025722261306530417,0.001704994904595698,0.002483593619549394,1,0.00974738890576519,8
mice,MCAR,0.3,age,-0.0028891338541998904,0.0012486188811659618,0.0027300869189235038,1,0.010985948247025054,8
missforest,MCAR,0.3,age,0.0023972299310441123,0.0022234589132726092,0.0025610226889134276,1,0.010051275679254179,8
complete_case,MAR,0.1,bmi,-0.004936142258095381,0.007269292409021199,0.006265491060859744,0.875,0.024615837442623828,8
knn,MAR,0.1,bmi,-9.114652208197607e-4,0.003295569714811666,0.0049626072313440255,1,0.0194768026015662,8
mean_mode,MAR,0.1,bmi,-0.00122930591106888,0.004026737590294488,0.005039846360143369,1,0.01977994391310101,8
mice,MAR,0.1,bmi,-7.46323851897331e-4,0.0032674549371154585,0.005228701316533887,1,0.02065378915565509,8
missforest,MAR,0.1,bmi,0.00196995963820353,0.00386415409936331,0.0050020058404293575,1,0.019631430783116535,8
complete_case,MAR,0.2,bmi,-0.004213763686970613,0.0044720105735406995,0.009583890318177921,1,0.037729783172201284,8
knn,MAR,0.2,bmi,-0.0016370770992538666,0.004946068109670578,0.005206296643172246,1,0.02043321328430012,8
mean_mode,MAR,0.2,bmi,-0.0013708171722939364,0.005030945201670125,0.005399824983933496,1,0.021192756225157577,8
mice,MAR,0.2,bmi,-7.489597424313642e-5,0.0050075781036397595,0.006094004810115395,1,0.02464227565417748,8
missforest,MAR,0.2,bmi,0.004840744624354749,0.006279328929103011,0.005265950238713062,0.75,0.02066733644792342,8
complete_case,MAR,0.3,bmi,-0.008999190709715854,0.010418752821960609,0.012539899153992675,0.875,0.049612756679889125,8
knn,MAR,0.3,bmi,-8.795249679704764e-4,0.004851650906240984,0.005412598302428905,1,0.021242887817545276,8
mean_mode,MAR,0.3,bmi,5.932270414418985e-4,0.004046403553894718,0.00579752356415661,1,0.02275360849108048,8
mice,MAR,0.3,bmi,5.641157906890034e-4,0.005463454039419956,0.0062595670674223634,1,0.025371057270758918,8
missforest,MAR,0.3,bmi,0.010039578887046964,0.004295435506969802,0.0055913301370676015,0.5,0.02194435873788867,8
complete_case,MCAR,0.1,bmi,-0.00408447528110701,0.005753772071495459,0.006613462059880043,0.875,0.02598526369914233,8
knn,MCAR,0.1,bmi,-7.974936374232889e-4,0.0029912829473695917,0.004738916499619421,1,0.018598880972370477,8
mean_mode,MCAR,0.1,bmi,-5.547465323583528e-4,0.002709396181848119,0.004797489278651482,1,0.018828762242809778,8
mice,MCAR,0.1,bmi,1.9630426456226273e-4,0.0016567410762403628,0.004999241526041566,1,0.01974908822115363,8
missforest,MCAR,0.1,bmi,0.001202185813792226,0.0020919679723466053,0.004767494500802644,1,0.018711041387621034,8
complete_case,MCAR,0.2,bmi,-0.003960296020625146,0.0101266196821714,0.008987788208308449,0.875,0.035398653392723425,8
knn,MCAR,0.2,bmi,-0.003908145047004189,0.003442540051874362,0.004968403722715643,1,0.01949955215899916,8
mean_mode,MCAR,0.2,bmi,-0.0028114643023009877,0.003186315877660715,0.0051466948273995086,1,0.020199293341337774,8
mice,MCAR,0.2,bmi,-0.002240994907164545,0.0031047418733452137,0.005441007339343647,1,0.021678884684241628,8
missforest,MCAR,0.2,bmi,0.002658668401762158,0.002825801771468992,0.005034902168688493,1,0.019760539387112582,8
